Раздел,Страница,Описание,HTTP метод,URL,Комментарий
Продукты,Каталог,Каталог доступных товаров,GET,products/catalog,
Продукты,Детальная страница товара,Детальная страница товара,GET,products/catalog/<int:product_id>/,
Продукты,Добавление отзыва к товару,Обработчик кнопки добавления отзыва,POST,products/catalog/<int:product_id>/add_review/,
Продукты,Добавление в сравнение,Обработчик кнопки добавления в список сравнения,POST,products/catalog/<int:product_id>/add_to_comparison/,
Продукты,Экспорт продуктов ,Представление для экспорта продуктов из каталога,GET,products/catalog/export/,
Продукты,Страница сравнения,Страница сравнения товаров,GET,products/comparison/,
Продукты,Удаление из страницы сравнения,Обработчик кнопки удаления товара из списка сравнения,POST,products/comparison/<int:product_id>/,
Скидки,Список скидок,Страница со всеми скидками,GET,products/sale/,
Скидки,Детальная страница скидки на набор,Детальная страница скидки на набор продуктов,GET,products/sale/<int:elem_id>/set/,
Скидки,Детальная страница скидки на корзину,Детальная страница скидки на корзину,GET,products/sale/<int:elem_id>/cart/,
Продавцы,Детальная страница продавца,Детальная страница продавца,GET,products/sellers/<int:seller_id>/,